StoreKey,Country,State,Square Meters,Open Date
1,Australia,Australian Capital Territory,595,01/01/2008 0:00
2,Australia,Northern Territory,665,01/12/2008 0:00
3,Australia,South Australia,2000,01/07/2012 0:00
4,Australia,Tasmania,2000,01/01/2010 0:00
5,Australia,Victoria,2000,12/09/2015 0:00
6,Australia,Western Australia,2000,01/01/2010 0:00
7,Canada,New Brunswick,1105,05/07/2007 0:00
8,Canada,Newfoundland and Labrador,2105,07/02/2014 0:00
9,Canada,Northwest Territories,1500,03/04/2005 0:00
10,Canada,Nunavut,1210,04/04/2015 0:00
11,Canada,Yukon,1210,06/03/2009 0:00
12,France,Basse-Normandie,350,06/06/2012 0:00
13,France,Corse,245,06/07/2013 0:00
14,France,Franche-Comté,350,15/12/2009 0:00
15,France,La Réunion,400,01/01/2015 0:00
16,France,Limousin,385,06/03/2010 0:00
17,France,Martinique,350,07/08/2007 0:00
18,France,Mayotte,310,08/08/2012 0:00
19,Germany,Berlin,1295,04/04/2015 0:00
20,Germany,Brandenburg,1715,15/12/2012 0:00
21,Germany,Freie Hansestadt Bremen,560,06/03/2018 0:00
22,Germany,Freistaat Thüringen,2000,03/06/2008 0:00
23,Germany,Hamburg,1365,01/01/2010 0:00
24,Germany,Hessen,1855,15/12/2012 0:00
25,Germany,Mecklenburg-Vorpommern,1610,01/01/2010 0:00
26,Germany,Saarland,350,03/05/2019 0:00
27,Germany,Sachsen-Anhalt,2000,08/08/2008 0:00
28,Italy,Caltanissetta,1200,15/12/2012 0:00
29,Italy,Enna,1000,01/01/2008 0:00
30,Italy,Pesaro,2100,01/12/2008 0:00
31,Netherlands,Drenthe,1085,01/07/2012 0:00
32,Netherlands,Flevoland,910,01/01/2010 0:00
33,Netherlands,Friesland,1540,12/09/2015 0:00
34,Netherlands,Groningen,1365,01/01/2010 0:00
35,Netherlands,Zeeland,1225,05/07/2007 0:00
36,United Kingdom,Armagh,1300,07/02/2014 0:00
37,United Kingdom,Ayrshire,2100,03/04/2005 0:00
38,United Kingdom,Belfast,1800,04/04/2015 0:00
39,United Kingdom,Blaenau Gwent,2100,06/03/2009 0:00
40,United Kingdom,Dungannon and South Tyrone,1300,06/06/2012 0:00
41,United Kingdom,Fermanagh,2100,06/07/2013 0:00
42,United Kingdom,North Down,1900,15/12/2009 0:00
43,United States,Alaska,1190,01/01/2015 0:00
44,United States,Arkansas,2000,06/03/2010 0:00
45,United States,Connecticut,2000,07/08/2007 0:00
46,United States,Delaware,1015,08/08/2012 0:00
47,United States,Hawaii,1120,04/04/2015 0:00
48,United States,Idaho,1540,15/12/2012 0:00
49,United States,Iowa,2000,06/03/2018 0:00
50,United States,Kansas,2000,03/06/2008 0:00
51,United States,Maine,1295,01/01/2010 0:00
52,United States,Mississippi,2000,06/03/2009 0:00
53,United States,Montana,1260,06/06/2012 0:00
54,United States,Nebraska,2000,06/07/2013 0:00
55,United States,Nevada,2000,15/12/2009 0:00
56,United States,New Hampshire,1260,01/01/2015 0:00
57,United States,New Mexico,1645,06/03/2010 0:00
58,United States,North Dakota,1330,07/08/2007 0:00
59,United States,Oregon,2000,08/08/2012 0:00
60,United States,Rhode Island,1260,04/04/2005 0:00
61,United States,South Carolina,2000,15/12/2012 0:00
62,United States,South Dakota,1120,06/03/2018 0:00
63,United States,Utah,2000,03/06/2008 0:00
64,United States,Washington DC,1330,01/01/2010 0:00
65,United States,West Virginia,1785,01/01/2012 0:00
66,United States,Wyoming,840,01/01/2014 0:00
0,Online,Online,,01/01/2010 0:00
